"스타일별 프리셋 라이브러리 (확장 세트 v2)","","",""
"","","",""
"프리셋명","톤 설명","주요 용도","샘플 JSON"
"base.json","표준형 (균형감)","기본 상품컷, 중립형","{""control_strength"":0.7,""cfg"":6.5,""sampler"":""Euler a"",""steps"":25,""ip_adapter"":0.5}"
"fresh.json","밝고 신선한 톤","채소·과일류","{""control_strength"":0.8,""cfg"":7.0,""sampler"":""DPM++ 2M"",""steps"":30,""ip_adapter"":0.6,""exposure"":1.2,""saturation"":1.1}"
"soft.json","부드럽고 따뜻한 톤","유제품, 베이커리, 소스류","{""control_strength"":0.65,""cfg"":6.0,""sampler"":""Euler a"",""steps"":22,""contrast"":0.8,""saturation"":0.9}"
"macro.json","클로즈업 강조","텍스처, 세부 질감 강조","{""control_strength"":0.85,""cfg"":7.3,""sampler"":""DPM++ 2M"",""steps"":28,""sharpness"":0.6,""ip_adapter"":0.5}"
"bright.json","백색 배경 강조","패키지컷, 배너형","{""control_strength"":0.75,""cfg"":6.8,""sampler"":""Heun"",""steps"":25,""exposure"":1.3,""saturation"":1.1}"
"contrast.json","고대비, 선명","포장식품, 육류","{""control_strength"":0.8,""cfg"":7.2,""sampler"":""Heun"",""steps"":30,""contrast"":1.3,""sharpness"":0.5}"
"studio.json","조명 강조 스튜디오 톤","패키지 홍보용 컷","{""control_strength"":0.7,""cfg"":7.0,""sampler"":""Euler a"",""steps"":28,""exposure"":1.1,""contrast"":1.2,""sharpness"":0.5}"
"vintage.json","레트로 감성, 낮은 채도","전통식품, 브랜드스토리컷","{""control_strength"":0.65,""cfg"":6.0,""sampler"":""Euler a"",""steps"":20,""contrast"":0.8,""saturation"":0.7,""exposure"":0.9}"
"natural.json","자연광 톤, 부드럽고 중립","산지컷, 농가사진","{""control_strength"":0.7,""cfg"":6.3,""sampler"":""Euler a"",""steps"":25,""exposure"":1.0,""saturation"":1.0,""sharpness"":0.4}"
"premium.json","깊은 색감, 브랜드 고급형","고급육, 와인, 수산물","{""control_strength"":0.8,""cfg"":7.5,""sampler"":""DPM++ 2M"",""steps"":32,""contrast"":1.3,""saturation"":1.2,""sharpness"":0.6}"
"social.json","SNS형, 밝고 대비 약함","인스타·광고 썸네일용","{""control_strength"":0.6,""cfg"":6.2,""sampler"":""Euler a"",""steps"":20,""contrast"":0.9,""exposure"":1.1,""saturation"":1.2}"
"dark.json","어두운 톤, 질감 중심","숙성육, 흑색 배경 컷","{""control_strength"":0.8,""cfg"":7.3,""sampler"":""Heun"",""steps"":28,""contrast"":1.4,""exposure"":0.8,""sharpness"":0.6}"
